"","x"
"774",0.868086496862199
"775",1.24450239421898
"776",0.0259750784369503
"777",0.101279529400856
"778",0.0671882716142778
"779",0.541677795454458
"780",0.0143212050689119
"781",0.532998636689963
"782",1.01253459982569
"783",0.436893530924302
"784",0.173533570904787
"785",0.346591313728179
"786",0.0994812188012544
"787",1.04253331460375
"788",0.389667580030516
"789",1.46683069331667
"790",2.27082131605425
"791",0.199018801579003
"792",0.370815198464968
"793",0.192038725340057
"794",0.00945863281715182
"795",0.557495773408914
"796",1.29795193130763
"797",0.344148561500384
"798",0.523365538723462
"799",0.808371770138604
"800",0.249071726958853
"801",0.303489147672628
"802",0.140726226925817
"803",0.388589580223682
